2022.11.30,03:00,1.0349,1.03502,1.03433,1.03482,3896,53033
2022.11.30,04:00,1.03482,1.03601,1.03481,1.03559,3662,56695
2022.11.30,05:00,1.0356,1.0361,1.03484,1.03485,4495,52196
2022.11.30,06:00,1.03487,1.03539,1.03356,1.03425,5201,46995
2022.11.30,07:00,1.03422,1.0357,1.03401,1.03512,7434,54433
2022.11.30,08:00,1.03513,1.03704,1.03418,1.03685,9085,63518
2022.11.30,09:00,1.03684,1.03812,1.03569,1.03582,8026,55488
2022.11.30,10:00,1.03581,1.03798,1.03537,1.0354,7909,47579
2022.11.30,11:00,1.03539,1.0367,1.03463,1.03591,7126,54709
2022.11.30,12:00,1.03593,1.03714,1.03562,1.03685,7026,61735
2022.11.30,13:00,1.03684,1.03918,1.03574,1.03589,13853,47878
2022.11.30,14:00,1.03589,1.03998,1.03579,1.03852,13742,61624
2022.11.30,15:00,1.03868,1.03879,1.02947,1.02986,17866,43754
2022.11.30,16:00,1.02985,1.03248,1.02902,1.03218,13063,56821
2022.11.30,17:00,1.03219,1.03332,1.03045,1.03149,9249,47568
2022.11.30,18:00,1.03149,1.03787,1.03061,1.03722,16094,63666
2022.11.30,19:00,1.03717,1.04148,1.03631,1.04134,19266,82932
2022.11.30,20:00,1.0413,1.04288,1.04056,1.04072,10887,72041
2022.11.30,21:00,1.04073,1.04089,1.03989,1.04082,5007,67034
2022.11.30,22:00,1.04068,1.04104,1.0401,1.04082,5505,61529
2022.11.30,23:00,1.04086,1.04299,1.04086,1.04232,5675,67208
2022.12.01,00:00,1.04231,1.04393,1.04219,1.0438,8719,75927
2022.12.01,01:00,1.04378,1.04479,1.04242,1.0426,10258,65665
2022.12.01,02:00,1.04261,1.04307,1.04188,1.04262,7111,58554
2022.12.01,03:00,1.04262,1.04327,1.04232,1.04318,5318,63876
2022.12.01,04:00,1.04316,1.04425,1.0426,1.04393,3966,67842
2022.12.01,05:00,1.04391,1.04514,1.04378,1.04457,7353,75195
2022.12.01,06:00,1.04456,1.04565,1.04407,1.0456,6450,81645
2022.12.01,07:00,1.04563,1.04638,1.03943,1.04036,12586,69055
2022.12.01,08:00,1.04035,1.04463,1.03934,1.04441,14042,83101
2022.12.01,09:00,1.04442,1.0447,1.04267,1.04414,9768,73329
2022.12.01,10:00,1.04415,1.04499,1.04182,1.04199,8457,64872
2022.12.01,11:00,1.042,1.04405,1.04176,1.04376,7427,72303
2022.12.01,12:00,1.04376,1.04545,1.04362,1.04448,8497,80800
2022.12.01,13:00,1.04446,1.05135,1.04347,1.04893,15015,95815
2022.12.01,14:00,1.04894,1.05291,1.04847,1.05223,14988,110803
2022.12.01,15:00,1.05229,1.05338,1.04714,1.04872,20188,90611
2022.12.01,16:00,1.04874,1.05089,1.04822,1.04971,13847,104462
2022.12.01,17:00,1.04971,1.05124,1.04693,1.05074,11719,116181
2022.12.01,18:00,1.05073,1.05191,1.05027,1.05079,9208,125389
2022.12.01,19:00,1.05075,1.052,1.04962,1.05186,7945,133334
2022.12.01,20:00,1.05184,1.05303,1.0512,1.05238,6987,140321
2022.12.01,21:00,1.05236,1.05292,1.05217,1.05253,3251,143568
2022.12.01,22:00,1.05198,1.05255,1.05188,1.05228,1993,141575
2022.12.01,23:00,1.05222,1.05395,1.05199,1.05278,4174,145753
2022.12.02,00:00,1.05278,1.05278,1.05071,1.05104,5528,140221
2022.12.02,01:00,1.05101,1.05173,1.05062,1.05133,5777,146002
2022.12.02,02:00,1.05134,1.05168,1.0505,1.05117,5787,140211
2022.12.02,03:00,1.05118,1.05258,1.05099,1.05244,4187,144402
2022.12.02,04:00,1.05246,1.0526,1.05165,1.05235,3453,147855
2022.12.02,05:00,1.05233,1.05283,1.05182,1.05231,4882,152737
2022.12.02,06:00,1.05232,1.05355,1.05229,1.05277,5401,158138
2022.12.02,07:00,1.05276,1.05425,1.05239,1.05294,9947,168085
2022.12.02,08:00,1.05297,1.05451,1.05128,1.05354,11386,179471
2022.12.02,09:00,1.05355,1.05401,1.05153,1.05297,9607,169860
2022.12.02,10:00,1.05299,1.05301,1.05162,1.05291,7114,162746
2022.12.02,11:00,1.05292,1.05393,1.05228,1.05374,5633,168383
2022.12.02,12:00,1.05375,1.05447,1.05264,1.05377,7124,175507
2022.12.02,13:00,1.05388,1.05409,1.04283,1.04623,18064,157439
2022.12.02,14:00,1.04623,1.04908,1.0445,1.04706,18954,176397
2022.12.02,15:00,1.04706,1.04796,1.04496,1.04732,14510,190907
2022.12.02,16:00,1.04733,1.0526,1.04659,1.05197,12221,203128
2022.12.02,17:00,1.05196,1.0534,1.05148,1.05252,9492,212620
2022.12.02,18:00,1.05256,1.05328,1.05181,1.05194,5694,206922
2022.12.02,19:00,1.05194,1.05367,1.05108,1.05361,5627,212553
2022.12.02,20:00,1.0536,1.05403,1.05308,1.05332,5208,207341
2022.12.02,21:00,1.05334,1.05421,1.05324,1.05405,2932,210273
2022.12.04,22:00,1.05342,1.05424,1.05342,1.05391,2268,208005
2022.12.04,23:00,1.05388,1.05438,1.05309,1.05437,4992,213001
2022.12.05,00:00,1.05441,1.05479,1.05393,1.05425,5410,207587
2022.12.05,01:00,1.05429,1.05745,1.05417,1.05681,7096,214687
2022.12.05,02:00,1.05678,1.05722,1.05575,1.05704,5672,220359
2022.12.05,03:00,1.05705,1.05828,1.05667,1.05803,4622,224981
2022.12.05,04:00,1.05804,1.05833,1.05761,1.05811,3126,228107
2022.12.05,05:00,1.05811,1.05846,1.05748,1.05831,3992,232099
2022.12.05,06:00,1.05831,1.05831,1.0568,1.05689,5260,226839
2022.12.05,07:00,1.057,1.05713,1.05304,1.05391,8709,218126
2022.12.05,08:00,1.05392,1.05547,1.05335,1.05542,11009,229139
2022.12.05,09:00,1.05542,1.05652,1.05481,1.05592,8886,238025
2022.12.05,10:00,1.05591,1.05596,1.0519,1.05361,8565,229456
2022.12.05,11:00,1.05362,1.05769,1.05292,1.05643,7479,236939
2022.12.05,12:00,1.05643,1.05948,1.05601,1.05899,8654,245593
2022.12.05,13:00,1.05897,1.05939,1.05634,1.05658,11952,233637
2022.12.05,14:00,1.05655,1.05684,1.05487,1.05498,11746,221891
2022.12.05,15:00,1.05382,1.05397,1.05036,1.05248,18650,203241
2022.12.05,16:00,1.0525,1.0538,1.04904,1.04932,12334,190907
2022.12.05,17:00,1.0493,1.05156,1.04901,1.04953,9193,200104
2022.12.05,18:00,1.04951,1.05061,1.04942,1.04973,5297,205401
2022.12.05,19:00,1.04974,1.04991,1.04816,1.04925,6121,199276
2022.12.05,20:00,1.04923,1.04973,1.04802,1.04851,5730,193546
2022.12.05,21:00,1.04851,1.04944,1.04842,1.0493,2345,195891
2022.12.05,22:00,1.04894,1.04946,1.0486,1.04941,1270,197165
2022.12.05,23:00,1.04946,1.04985,1.04923,1.04963,2848,200013
2022.12.06,00:00,1.04964,1.05112,1.04952,1.05105,4372,204385
2022.12.06,01:00,1.05105,1.05189,1.0504,1.05103,7148,211533
2022.12.06,02:00,1.05103,1.05151,1.04911,1.04978,7688,203841
2022.12.06,03:00,1.04978,1.05093,1.04878,1.04926,5892,197949
2022.12.06,04:00,1.04925,1.04991,1.04898,1.04906,4679,193270
2022.12.06,05:00,1.04909,1.0495,1.04832,1.04939,6647,199921
